Date,Close
3/2/2015 16:00:00,78.83
3/3/2015 16:00:00,78.03
3/4/2015 16:00:00,78.19
3/5/2015 16:00:00,78.5
3/6/2015 16:00:00,76.48
3/9/2015 16:00:00,76.9
3/10/2015 16:00:00,75.87
3/11/2015 16:00:00,76.05
3/12/2015 16:00:00,76.76
3/13/2015 16:00:00,76.47
3/16/2015 16:00:00,77.67
3/17/2015 16:00:00,76.72
3/18/2015 16:00:00,77.61
3/19/2015 16:00:00,77.66
3/20/2015 16:00:00,78.02
3/23/2015 16:00:00,78.67
3/24/2015 16:00:00,78.72
3/25/2015 16:00:00,77.6
3/26/2015 16:00:00,76.61
3/27/2015 16:00:00,77.38
3/30/2015 16:00:00,78.42
3/31/2015 16:00:00,77.99
4/1/2015 16:00:00,76.14
4/2/2015 16:00:00,76.87
4/6/2015 16:00:00,77.36
4/7/2015 16:00:00,77.18
4/8/2015 16:00:00,76.39
4/9/2015 16:00:00,77.13
4/10/2015 16:00:00,77.93
4/13/2015 16:00:00,78.08
4/14/2015 16:00:00,77.89
4/15/2015 16:00:00,77.91
4/16/2015 16:00:00,77.02
4/17/2015 16:00:00,76.49
4/20/2015 16:00:00,77.14
4/21/2015 16:00:00,77.08
4/22/2015 16:00:00,78.01
4/23/2015 16:00:00,78.5
4/24/2015 16:00:00,77.61
4/27/2015 16:00:00,76.21
4/28/2015 16:00:00,76.52
4/29/2015 16:00:00,75.69
4/30/2015 16:00:00,74.45
5/1/2015 16:00:00,75.6
5/4/2015 16:00:00,75.9
5/5/2015 16:00:00,74.91
5/6/2015 16:00:00,74.32
5/7/2015 16:00:00,74.6
5/8/2015 16:00:00,76.21
5/11/2015 16:00:00,76.02
5/12/2015 16:00:00,75.2
5/13/2015 16:00:00,74.86
5/14/2015 16:00:00,76.26
5/15/2015 16:00:00,76.42
5/18/2015 16:00:00,77.47
5/19/2015 16:00:00,78.44
5/20/2015 16:00:00,78.79
5/21/2015 16:00:00,78.41
5/22/2015 16:00:00,77.82
5/26/2015 16:00:00,76.57
5/27/2015 16:00:00,77.32
5/28/2015 16:00:00,77.21
5/29/2015 16:00:00,76.32
6/1/2015 16:00:00,76.7
6/2/2015 16:00:00,76.88
6/3/2015 16:00:00,76.83
6/4/2015 16:00:00,76.04
6/5/2015 16:00:00,75.46
6/8/2015 16:00:00,75.14
6/9/2015 16:00:00,74.92
6/10/2015 16:00:00,76.16
6/11/2015 16:00:00,76.22
6/12/2015 16:00:00,75.52
6/15/2015 16:00:00,75.42
6/16/2015 16:00:00,75.6
6/17/2015 16:00:00,75.71
6/18/2015 16:00:00,76.72
6/19/2015 16:00:00,76.71
6/22/2015 16:00:00,77.21
6/23/2015 16:00:00,76.61
6/24/2015 16:00:00,75.27
6/25/2015 16:00:00,75.48
6/26/2015 16:00:00,75.16
6/29/2015 16:00:00,73.3
6/30/2015 16:00:00,74.1
7/1/2015 16:00:00,74.08
7/2/2015 16:00:00,73.81
7/6/2015 16:00:00,73.53
7/7/2015 16:00:00,73.46
7/8/2015 16:00:00,72.85
7/9/2015 16:00:00,73.09
7/10/2015 16:00:00,74.37
7/13/2015 16:00:00,75.17
7/14/2015 16:00:00,75.89
7/15/2015 16:00:00,75.95
7/16/2015 16:00:00,76.8
7/17/2015 16:00:00,76.91
7/20/2015 16:00:00,77
7/21/2015 16:00:00,76.54
7/22/2015 16:00:00,76.82
7/23/2015 16:00:00,76.8
7/24/2015 16:00:00,76.01
7/27/2015 16:00:00,75.66
7/28/2015 16:00:00,77.47
7/29/2015 16:00:00,77.88
7/30/2015 16:00:00,78.28
7/31/2015 16:00:00,78.39
8/3/2015 16:00:00,78
8/4/2015 16:00:00,77.77
8/5/2015 16:00:00,78.67
8/6/2015 16:00:00,77.41
8/7/2015 16:00:00,77.48
8/10/2015 16:00:00,77.62
8/11/2015 16:00:00,77.39
8/12/2015 16:00:00,77.39
8/13/2015 16:00:00,77.48
8/14/2015 16:00:00,77.58
8/17/2015 16:00:00,78.74
8/18/2015 16:00:00,78.09
8/19/2015 16:00:00,77.47
8/20/2015 16:00:00,76.49
8/21/2015 16:00:00,74.27
8/24/2015 16:00:00,70.91
8/25/2015 16:00:00,69.88
8/26/2015 16:00:00,72.24
8/27/2015 16:00:00,73.52
8/28/2015 16:00:00,73.56
8/31/2015 16:00:00,72.29
9/1/2015 16:00:00,69.53
9/2/2015 16:00:00,71.55
9/3/2015 16:00:00,69.98
9/4/2015 16:00:00,68.98
9/8/2015 16:00:00,70.8
9/9/2015 16:00:00,69.59
9/10/2015 16:00:00,70.01
9/11/2015 16:00:00,69.9
9/14/2015 16:00:00,68.73
9/15/2015 16:00:00,69.93
9/16/2015 16:00:00,70.12
9/17/2015 16:00:00,70.81
