Date,Close
3/2/2015 16:00:00,92.95
3/3/2015 16:00:00,92.33
3/4/2015 16:00:00,92.07
3/5/2015 16:00:00,92.54
3/6/2015 16:00:00,93.73
3/9/2015 16:00:00,94.53
3/10/2015 16:00:00,92.88
3/11/2015 16:00:00,93.32
3/12/2015 16:00:00,96.63
3/13/2015 16:00:00,95.69
3/16/2015 16:00:00,95.96
3/17/2015 16:00:00,95.82
3/18/2015 16:00:00,96.03
3/19/2015 16:00:00,94.87
3/20/2015 16:00:00,95.97
3/23/2015 16:00:00,95.11
3/24/2015 16:00:00,94.45
3/25/2015 16:00:00,92.5
3/26/2015 16:00:00,92.49
3/27/2015 16:00:00,92.04
3/30/2015 16:00:00,93.85
3/31/2015 16:00:00,93.24
4/1/2015 16:00:00,92.5
4/2/2015 16:00:00,93.29
4/6/2015 16:00:00,92.49
4/7/2015 16:00:00,93.02
4/8/2015 16:00:00,92.84
4/9/2015 16:00:00,93.51
4/10/2015 16:00:00,93.48
4/13/2015 16:00:00,93.32
4/14/2015 16:00:00,93.62
4/15/2015 16:00:00,92.2
4/16/2015 16:00:00,91.76
4/17/2015 16:00:00,90.93
4/20/2015 16:00:00,91.43
4/21/2015 16:00:00,91.2
4/22/2015 16:00:00,91.41
4/23/2015 16:00:00,91.4
4/24/2015 16:00:00,91
4/27/2015 16:00:00,90.82
4/28/2015 16:00:00,91.41
4/29/2015 16:00:00,91.86
4/30/2015 16:00:00,91.73
5/1/2015 16:00:00,92
5/4/2015 16:00:00,93.27
5/5/2015 16:00:00,93.11
5/6/2015 16:00:00,92.66
5/7/2015 16:00:00,92.37
5/8/2015 16:00:00,93.65
5/11/2015 16:00:00,93.65
5/12/2015 16:00:00,93.87
5/13/2015 16:00:00,94.19
5/14/2015 16:00:00,94.96
5/15/2015 16:00:00,93.74
5/18/2015 16:00:00,94.63
5/19/2015 16:00:00,95.56
5/20/2015 16:00:00,95.04
5/21/2015 16:00:00,94.96
5/22/2015 16:00:00,95.22
5/26/2015 16:00:00,94.61
5/27/2015 16:00:00,95.89
5/28/2015 16:00:00,96
5/29/2015 16:00:00,95.69
6/1/2015 16:00:00,94.62
6/2/2015 16:00:00,94.64
6/3/2015 16:00:00,96.02
6/4/2015 16:00:00,94.95
6/5/2015 16:00:00,96.51
6/8/2015 16:00:00,96.29
